rank,name,state,grade,medianBaseSalary,studentPopulation,campusSetting,schoolSize,description,uri,institutionType,carnegieClassification,studentFacultyRatio,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant
227,"California State University, Los Angeles",CA,,111600.0,29819,Urban,large,"California State University’s Los Angeles campus is home to more than 26,000 enrolled students. Cal State LA offers over 100 academic programs across nearly 10 colleges, with popular undergraduate majors in business, psychology, and criminal justice. Cal State LA champions a diverse student body, being federally recognized as a Hispanic-Serving Institution, a Minority-Serving Institution, and an Asian American and Native American Pacific Islander-Serving Institution. More than 70% of Cal State LA students are Hispanic, and the university’s interdisciplinary Latin American studies program was among the first of its kind established in the U.S. The university has around 100 student clubs and organizations. Cal State L.A.'s Golden Eagles athletics teams compete in 11 intercollegiate sports and are members of the California Collegiate Athletic Association. Tennis legend Billie Jean King, U.S. Representative Maxine Waters, and Inglewood, Calif. Mayor James Butts are all alumni who attended Cal State LA.",california-state-university-los-angeles,Public,Master's Colleges & Universities: Larger Programs,22,38468023.0,92.0,91.0
228,George Mason University,VA,,128200.0,46892,Suburban,large,"George Mason University is the largest public research university in Virginia with a student body of nearly 40,000 students. Conveniently located in Fairfax, VA, the public research institution’s main campus uses its close proximity to Washington, D.C., to prepare future leaders, ​​policymakers, and public servants. The university's knack for discovery is best reflected through its research achievements, having been granted the highest research (R-1) designation from Carnegie Classification—one of only 131 schools in the country to hold the distinction. George Mason offers around 80 undergraduate programs, with popular fields of study in computer science, criminal justice, and psychology. Students can take advantage of George Mason’s study abroad programs that host trips to Europe, Australia, or the university’s additional campus in Songdo, Korea. Three-quarters of all freshmen live on the university’s campus in Virginia. Outside of academics, students participate in Greek life, community service, and more than 350 clubs and organizations. The George Mason Patriots compete at the NCAA Division I level and are members of the Atlantic 10 conference. Notable alumni include current Georgia State University president M. Brian Blake, along with other political figures like Steve Ricchetti, counselor to the president under the current Biden administration, and Karl Rove, former White House deputy chief of staff under the Bush administration.",george-mason-university,Public,Doctoral Universities: Very High Research Activity,16,30439120.0,80.0,74.0
229,Rose-Hulman Institute of Technology,IN,C+,161500.0,2205,Urban,small,"The Rose-Hulman Institute of Technology is a private STEM university in Terre Haute, Ind., about 90 minutes from the capital city of Indianapolis. More than 2,000 enrolled students call Rose-Hulman home, and more than 70% of students hail from out-of-state. Rose-Hulman has over 20 STEM-focused majors; the most popular areas of study include mechanical engineering, computer science, and chemical engineering. Students can expand their knowledge globally through the school’s “First Year International Experience” courses, where they study in countries like Japan, France and the Netherlands. Students are encouraged to take advantage of study abroad opportunities during their first year to make time for industry experiences as upperclassmen. Students have active lives outside of the classroom, with more than 90 student organizations, the Fightin' Engineers Division III sports, and close to a dozen Greek organizations. Six months after graduating, the Class of 2021 had a 99% placement rate. Rose-Hulman’s highly anticipated bonfire is a classic event, where the bonfire is built and guarded by freshmen against upperclassmen trying to tear it down. A big part of culture also includes Rosie, the school’s elephant mascot of more than 100 years. ",rose-hulman-institute-of-technology,Private not-for-profit,Special Focus Four-Year: Engineering and Other Technology-Related Schools,12,19668044.0,100.0,100.0
230,Bradley University,IL,C,123500.0,6112,Urban,medium,"Bradley University is a private research institution in Peoria, IL., that offers the resources of a big school with the personalized attention of a smaller one. Though Bradley was originally founded as a polytechnic school, it now has eight different schools, including the Turner School of Entrepreneurship and Innovation, and its academic offerings are diverse; nearly 10% of students major in the visual and performing arts. Bradley’s campus is within three hours of Chicago, Indianapolis and St. Louis. There are more than 70,000 Bradley alumni. Bradley welcomes many of these alumni back to campus during homecoming weekend by lighting a large bright red “B” atop Bradley Hall. Accomplished Bradley alumni include Robert Lawrence, the United States’ first Black astronaut in the United States, and Rene C. Byer '80, Pulitzer Prize-winning photojournalist.",bradley-university,Private not-for-profit,Doctoral/Professional Universities,12,27733728.0,100.0,100.0
231,Colorado School of Mines,CO,,165700.0,7789,Suburban,medium,"The Colorado School of Mines is a public research university located 15 miles west of Denver in the city of Golden, Colo. Founded in the aftermath of Colorado’s Gold Rush, Mines is preparing to celebrate its sesquicentennial in 2024, marking 150 years of existence. Home to more than 6,500 students, Mines’ STEM-focused curriculum only offers majors in engineering, mathematics, and sciences. Staying true to its mining roots, the university also offers programs in Mining Engineering and Space Mining. Driven by research and innovation, Mines is recognized as an R1 highly research-active university by the Carnegie Classification. Mines’ student life hosts more than 200 student organizations, and students can participate in other Oredigger activities through intercollegiate or intramural sports teams. Oredigger sports teams play in the Rocky Mountain Athletic Conference, competing at the Division II level. Unlike standard diplomas, tradition has it that Mines graduates receive a silver-plated metal diploma with the wording engraved directly onto the metal surface.",colorado-school-of-mines,Public,Doctoral Universities: Very High Research Activity,17,14488657.0,98.0,97.0
232,Gustavus Adolphus College,MN,B+,118900.0,2265,Rural,small,"Gustavus Adolphus is a liberal arts college spanning 240 acres in Saint Peter, MN. The school values its Swedish American heritage and Lutheran affiliation, and aims to teach students the values of community, justice, service, and faith. Students can choose from 72 majors, the most popular being business, psychology and biology. About 40% of students participate in one of the college’s fine arts programs. Each year, over 75% of students participate in service programs. U.S. and permanent residents who are accepted to Gustavus are automatically considered for various merit scholarships of up to $32,000. More than 90% of students receive some form of financial aid. There are about 120 interest groups and organizations for students to take part in, including four fraternity and four sorority chapters.",gustavus-adolphus-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,16994555.0,95.0,94.0
233,Pacific Lutheran University,WA,D,120600.0,3116,Suburban,medium,"Pacific Lutheran University in Tacoma, WA is a private Lutheran university that encourages inquiry and civic engagement.  Students can choose from almost 40 majors. Popular programs include business administration, nursing and kinesiology.  PLU aims to cultivate a community that is globally and civically engaged—half of students study abroad, and over 70% of students volunteer.  All freshmen are considered for PLU Academic Scholarships, ranging from $5,000 to $25,000 annually. The university also has a number of full-tuition scholarships, including the Regents’ Scholarships and the 253 PLU Bound Scholarship for Washington high school students. The PLU Pledge helps repay loans if the student is making less than $50,000 annually.  Approximately 90% of students are employed or in graduate school within six months of graduating, and the university has produced over 100 Fulbright scholars since 1975.",pacific-lutheran-university,Private not-for-profit,Master's Colleges & Universities: Medium Programs,11,18472560.0,100.0,99.0
234,University of North Dakota,ND,,114700.0,16981,Urban,large,"As the largest university in the state, the University of North Dakota in Grand Forks, ND, provides a wealth of opportunities for students. Undergraduates can choose from over 100 majors, including pre-professional and combined major and master’s programs. The College of Arts and Sciences, the College of Engineering and Mines and the School of Aerospace Sciences house some of the most popular programs. UND obtained $104 million in research awards in the 2020 fiscal year, and research expenditures totaled $110.8 million in the 2019 fiscal year, which went toward supporting research for hundreds of undergraduates. Characteristic of a large state school, students can take advantage of over 250 student organizations, Greek life and Division I athletics. Freshmen are automatically considered for scholarships ranging up to $14,000. Annually, the university awards more than 2,000 scholarships totaling over $8 million.",university-of-north-dakota,Public,Doctoral Universities: High Research Activity,17,9453051.0,92.0,86.0
235,San Jose State University,CA,,137200.0,40879,Urban,large,"San Jose State University is located in San Jose, California. Silicon Valley’s public university, SJSU is a short drive from Northern California destinations such as the Coastal redwood forests, the Santa Cruz Beach Boardwalk and San Francisco. Located in a highly innovative region, the SJSU curriculum helps prepare students for the future through the Student Alumni Connection which creates opportunities to develop skills, build a network, and shape a career by connecting with alumni who have pursued similar interests. On Thursdays, Spartans show their pride by wearing Spartan blue and gold. Admitted Spartan Day occurs every spring when new students are welcomed to explore the campus. Weeks of Welcome are the first weeks of the semester when returning students support incoming freshmen with their transition through school spirit and events. The school honors legacy through Earth Day and Sustainability Week because Gaylord Nelson, class of 39’, founded Earth Day. Other notable alumni include executive Peter Ueberroth, singer-songwriter Stevie Nicks, businessman Gordon Moore, and businessman Omid Kordestani. ",san-jose-state-university,Public,Master's Colleges & Universities: Larger Programs,22,21818015.0,65.0,59.0
236,West Virginia University,WV,,118200.0,28150,Urban,large,"The flagship public school of the state, West Virginia University is a large research institution in Morgantown, WV. Journalism is one of WVU’s most popular majors, and the Reed College of Media offers five other majors in addition to Journalism, such as Integrated Marketing Communications and Sports and Adventure Media. WVU gave more than $133 million in scholarships in the past year, and nearly 4,000 undergraduates are Promise Scholars, a merit-based program for in-state high school graduates. A member of the Big 12 Conference, the WVU Mountaineers fields 17 varsity athletic teams. Though football and basketball are the most popular spectator sports on campus, the WVU rifle team has won the most national championships of any NCAA rifle team. Jerry West, legendary NBA player and executive, and Joe Manchin, West Virginia’s senior U.S. senator, both are WVU alumni.",west-virginia-university,Public,Doctoral Universities: Very High Research Activity,17,47147031.0,97.0,94.0
237,Utah State University,UT,,112300.0,32943,Urban,large,"Utah State University is a public land-grant research institution with its main campus located in Logan, Utah. The university began as an agricultural college in 1888. The school enrolls more than 25,000 students. USU’s campus is an hour from numerous ski resorts, two minutes to Logan Canyon and five hours south of Yellowstone National Park. Economics, Communicative Disorders and Deaf Education, Psychology and Elementary Education are among the most popular undergraduate degrees. Utah State is also home to Aggie Ice Cream, which bears a storied history that dates back to 1888.",utah-state-university,Public,Doctoral Universities: Very High Research Activity,19,33151708.0,91.0,89.0
238,Case Western Reserve University,OH,B+,142300.0,12615,Urban,large,"Case Western Reserve University is a private research university in Cleveland, Ohio. About 99% of undergraduate students take part in experiential learning, including research, co-ops, and internships and Students can pursue passions through over 550 student organizations that are offered. Students can take a break between classes in the Tinkham Veale University Center (the “Tink”), watch one of the 17 NCAA Division III varsity athletics teams, or participate in intramural and club sports. Off campus, students can go to the Cleveland Museum of Art, go see the Cleveland Orchestra, or take a short drive to downtown Cleveland. Summer Intersections is an undergraduate poster session that features student’s research and creative projects spanning through many disciplines such as Arts and Humanities, Engineering, Life Sciences, Physical Sciences and Social Sciences. Sears think[box] is an open-access makerspace where students can brainstorm, create, hone and even patent their ideas. With free access to 3D printers, laser cutters and more, students can indulge and explore here for all four years. The Farm Food Program provides knowledge on local food production and sustainability to students and faculty members through farming using organic methods to deliver fresh produce and herbs to the campus and local restaurants. ",case-western-reserve-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,9,49278786.0,90.0,87.0
239,Union College (NY),NY,B-,153300.0,2118,Urban,small,"One of the oldest liberal arts schools in the country, Union College in Schenectady, N.Y. balances a traditional liberal arts education with rigorous STEM instruction. Established in 1795, the college was founded as the first planned campus in the U.S. and now sits on 100 acres, home to 2,050 full-time undergraduate students. Union offers more than 60 majors and minors while employing a trimester system with three 10-week terms and an extended winter break. Popular fields of study include economics, political science and particularly engineering—the first liberal arts college in the country to offer the discipline. Class sizes decrease over time; the average introductory classes contain 24 students, while upper-level classes contain only 14 students, on average. 80% of students at Union conduct research and 85% of students complete at least one internship. Students are required to live on campus all four years. Students and faculty are assigned to one of seven “Minerva houses,” which host academic and social activities for members. Union awards $60 million in scholarships and grants each year, and more than half of students receive need-based scholarships. 30% of students receive merit-based scholarships. There are more than 130 clubs, which also include an active Greek life. The Union Dutchmen and Dutchwomen compete in the NCAA-affiliated Liberty League. Cherished Union traditions include “The Dip,” a fundraiser where students submerge themselves in icy water for those fighting cancer. Convocation, Founders Day, and Homecoming events add to the annual festivities. Historic alumni include America's 21st president Chester A. Arthur and as well as 14 governors.",union-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,19665680.0,94.0,93.0
240,Franklin and Marshall College,PA,B-,144300.0,2198,Urban,small,"Franklin and Marshall College in Lancaster, Pa. is a private liberal arts college and one of the oldest institutions of higher learning in the country. Named after Benjamin Franklin and Supreme Court Chief Justice John Marshall, the college has more than 2,400 undergraduate students. F&M offers 60 fields of study with class sizes averaging less than 20 students. Popular majors include political science, business, and multi/ interdisciplinary studies. F&M encourages research involvement and 65% of students are in research or other faculty-led initiatives. Half of all students study off-campus before graduating, taking advantage of F&M’s 200 off-campus programs in 60 different countries. A handful of first-year students have the opportunity to study at F&M’s Bath, England campus for 16 weeks to build upon academic and cultural experiences through F&M’s Advanced Studies in England (ASE). The college hosts more than 100 student-run clubs and organizations and sponsors over 25 intercollegiate athletic teams, where nearly 30% of students participate in varsity sports. The Diplomats have plenty of beloved traditions that include a Senior Bonfire, a “FlapJack Fest” which serves breakfast during finals week, and the historic rivalry against Dickinson College’s Red Devils for the coveted Conestoga Wagon Trophy. Notable alumni include former New Jersey Attorney General Paula Dow, former White House political director Ken Mehlman, and the late Ken Duberstein, former White House chief of staff under the Reagan administration.",franklin-and-marshall-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,15884114.0,71.0,63.0
241,Virginia Commonwealth University,VA,,104800.0,31390,Urban,large,"Virginia Commonwealth University is a public research university located in Richmond, VA. The school emphasizes research, community engagement and diversity. More than 28,000 students are enrolled, and more than 80% are Virginia residents. Students can choose from more than 200 programs. Majors include biomedical engineering, electrical engineering, health services, cinema, fashion and graphic design. Many VCU students stick around in the area after graduating—there are more than 100 Richmond businesses owned by VCU alumni, and more than 40% of alumni live in Richmond. The school offers more than 500 clubs and student organizations. ",virginia-commonwealth-university,Public,Doctoral Universities: Very High Research Activity,16,42442459.0,90.0,83.0
242,Illinois Institute of Technology,IL,C-,142900.0,7235,Urban,medium,"The Illinois Institute of Technology, largely known as Illinois Tech, is a private research university that applies tech-focused disciplines within the heart of Chicago. Illinois Tech offers more than 50 undergraduate majors and programs across seven colleges, as well as a variety of accelerated master’s degrees. A majority of students study engineering, computer science and architecture. The university is a pioneer in research, credited for the nation’s first industrial nuclear reactor, as well as the country’s first functional microgrid. Students are encouraged to participate in undergraduate research projects. Illinois Tech offers a number of financial aid, and first-year and transfer students are automatically considered for scholarships that can range from $60,000 to $120,000 over four years. Illinois Tech hosts more than 150 student organizations that include a large robotics club, esports, and 10 Greek life chapters. Illinois Tech's Scarlet Hawks have 17 varsity women’s and men’s sports and play in the Northern Athletics Collegiate Conference. In the fall, students take part in the annual Pumpkin Launch—where they build catapults to fling said pumpkins through the air. Other traditions include Spirit Week and the Spring Formal. The late fashion designer Virgil Abloh was a student at Illinois Tech, as well as other tech pioneers like engineer Martin Cooper, widely considered the “father of the cell phone.”",illinois-institute-of-technology,Private not-for-profit,Doctoral Universities: High Research Activity,13,19960295.0,99.0,99.0
243,Clarkson University,NY,C-,157700.0,4371,Rural,medium,"Clarkson is a private university in Potsdam, New York, that enrolls more than 4,000 students and offers more than 90 programs. Popular areas of study include Construction Engineering Management, Psychology and Direct Entry Healthcare programs. Students at Clarkson take part in over 200 clubs. The university also has more than 10 competitive engineering teams where students develop bridges, cars and rockets. The university’s main campus spans more than 600 acres and offers opportunities to explore the outdoors, including through Clarkson’s Outing Club. Students might also choose to journey to Ottawa or Montreal over the weekend.",clarkson-university,Private not-for-profit,Doctoral Universities: High Research Activity,14,30551198.0,100.0,100.0
244,Mount Holyoke College,MA,B,113600.0,2600,Suburban,small,"One of the Seven Sisters colleges, Mount Holyoke is a tight-knit private liberal arts women’s college in South Hadley, Mass. The college offers over 40 majors, the most popular being biology, economics, environmental studies and psychology. Approximately 40% of students major in STEM. As a member of the Five College Consortium, students can enroll in courses at any of the affiliated schools. Although MHC is a women's college, its commitment to inclusion welcomes applications from female, transgender and non-binary students. The community is a global one, with one in four students identifying as an international citizen and one in four domestic students being a person of color. The average financial aid package for first-year students amounts to more than $50,000. MHC also offers a number of merit scholarships, like the full-ride Trustee Scholarship and the Frances Perkins Scholarship for nontraditional-age students. Mount Holyoke has a wealth of traditions, like “Mountain Day”—in which students take a surprise day off in the fall to climb the nearby Mount Holyoke mountain. “Pangy Day,” is another event that celebrates spring and women and happens towards the end of the spring semester. World-renowned poet Emily Dickinson is one of many highly regarded women to attend the college.",mount-holyoke-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,19101844.0,83.0,80.0
245,University of Cincinnati,OH,,113600.0,47930,Urban,large,"Just a few miles from downtown Cincinnati, Ohio is the University of Cincinnati, a large public research institution that has long been a leader in higher education. With more than 47,000 students coming from all 50 states and 121 countries, the university is one of the largest in the state. The university operates other regional locations at its UC Blue Ash College campus and UC Clermont College campus. UC offers over 190 fields of study, of which, nursing, marketing and psychology are among the most popular. UC provides plenty of experienced-based learning, where students can participate in study abroad programs, internships, and co-op opportunities. UC has had an impressive history of breakthrough research, with contributions to the oral polio vaccine and the first antihistamine. In 2022, sponsored research awards surpassed $300 million and UC reported an endowment totalling $1.8 billion for fiscal year 2023. UC supports hundreds of organizations, including 45 Greek chapters. The UC Bearcats field 16 Division I varsity teams and is a powerhouse in the American Athletic Conference. UC has produced some of the world’s top athletes, including Baseball Hall of Famer Sandy Koufax and Basketball Hall of Famer Oscar Robertson, and some of the top leaders off the field like President William Taft and astronaut Neil Armstrong.",university-of-cincinnati-main-campus,Public,Doctoral Universities: Very High Research Activity,18,30015107.0,84.0,64.0
246,University of Massachusetts Lowell,MA,,129400.0,21543,Suburban,large,"Located about a half hour outside of Boston, UMass Lowell is a public research university committed to robust learning both inside and outside of the classroom. UMass Lowell offers over 120 undergraduate majors across five colleges. Popular programs include business administration, psychology and mechanical engineering. The university has over $84 million in research expenditures and provides $2,500 stipends through its research programs for students in the College of Fine Arts, Humanities, and Social Sciences and the Manning School of Business. UMass Lowell has over 250 student organizations, including Greek life and Division I athletics. The university offers a number of full-tuition awards for Massachusetts residents. Out of state students can receive awards ranging up to $20,000. The Immersive Scholar program awards incoming freshmen with $4,000 to engage in research, studying abroad or work with the community.",university-of-massachusetts-lowell,Public,Doctoral Universities: High Research Activity,17,18285862.0,91.0,82.0
247,Florida Gulf Coast University,FL,,102600.0,18185,Suburban,large,"Dating back to 1991, Florida Gulf Coast is a large public university in Fort Myers, FL, and the second youngest member of the State University of Florida system. FGCU has kept tuition flat for seven years. 73% of students receive some form of financial aid, including $30 million in scholarships every year, and 52% of graduates leave with no debt. Undergraduates at FGCU can choose from 63 majors, with pre-professional programs in digital media design, legal studies and music therapy. The school’s 800 acre campus includes 350 acres of preserved Florida wetlands and a 15-acre solar energy field. The “Wings of Hope” program partners the school with local elementary school students to teach them about Florida’s natural ecosystems. 82% of the class of 2019 was employed a year after graduating. ",florida-gulf-coast-university,Public,Doctoral/Professional Universities,20,15961053.0,82.0,72.0
248,Seattle University,WA,C-,139600.0,8089,Urban,medium,"Seattle University in Seattle, Washington, is a private Jesuit university at the intersection of humanity, tech and innovation. The school offers over 60 undergraduate degree programs. Its popular Academic Pathways program allows students to spend up to their first two years exploring disciplines before declaring a major. Students can take advantage of city life in Seattle, as well as outdoor adventures like kayaking, biking and climbing. Four out of five undergraduates engage in community service. The university offers a number of merit awards, including the Sullivan Leadership Award that covers the cost of tuition, housing and dining. ",seattle-university,Private not-for-profit,Doctoral/Professional Universities,10,30576762.0,100.0,100.0
249,Occidental College,CA,B+,141100.0,2024,Urban,small,"A private liberal arts school in Los Angeles, Occidental College sits on a 120-acre campus with less than 2,000 students. It is one of the first liberal arts colleges in California. Despite its small size, students come from all 50 states and more than 20 countries. Occidental offers more than 40 majors and minors with economics, biology and computer science as some of the university’s top declared majors in Fall 2022. Led by community-based learning and partnerships, Occidental was one of the first liberal arts colleges recognized by the Carnegie Foundation as a community engagement institution. The school deepens its curriculum through its undergraduate research program, where students are encouraged to take advantage of research opportunities. Students can stay engaged on and off campus, thanks to its location in the heart of Los Angeles and the school’s 100+ student clubs and organizations. Home of the Tigers, Oxy athletics fields 20 varsity teams, and about a quarter of Occidental students compete at the varsity NCAA Division III level. Students are required to live on campus for at least three years. Past students include 44th U.S. President Barack Obama, renowned poet Robinson Jeffers, and Oscar-winning actor and filmmaker Ben Affleck.",occidental-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,13341955.0,79.0,76.0
250,Mississippi State University,MS,,111000.0,25666,Rural,large,"Originally founded as an agricultural and mechanical college, Mississippi State University is a land-grant university in Starkville, MS, that has upheld its tradition of being a leader in agriculture and natural resource research. MSU offers more than 175 different programs at the undergraduate and graduate level in the university’s eight academic colleges. The land, sea and space grant institution has the highest Carnegie research classification and has been a National Science Foundation top 100 research university for nearly two decades. For the 2019 fiscal year, the university had more than $264.5 million in research and development expenditures, an increase of $20 million from the previous year. At 4,200 acres, the MSU campus is one of the largest in the country. A sense of campus pride is cultivated through Division I athletics — including the Cowbell Yell pep rally — more than 300 student organizations and Greek life. The Ole Miss Opportunity Program guarantees that Mississippi residents with a family adjusted gross income below $32,5000 will receive financial aid to cover the cost of tuition, residence hall housing and meals.",mississippi-state-university,Public,Doctoral Universities: Very High Research Activity,16,47102222.0,98.0,98.0
251,Truman State University,MO,,106800.0,4524,Rural,medium,"Truman State University is a public university in Kirksville, Missouri, named for U.S. president and Missouri native Harry Truman. Previously known as Northeast Missouri State University, the school was renamed Truman State in 1996. To honor its former names, the weathervane on the campus’s Kirk Memorial is welded to permanently face northeast. Truman offers more than 40 majors. Majors include agricultural science, cannabis and natural medicinals, communication disorders and music therapy.  The university is home to a human anatomy lab that exercise science and health science students have the opportunity to use. The lab includes human cadavers and an array of human organs and bones. Jenna Fischer, star of “The Office,” graduated from the university with a bachelor of arts in theater.",truman-state-university,Public,Master's Colleges & Universities: Medium Programs,13,6544296.0,100.0,100.0
252,University of Louisville,KY,,100700.0,26161,Urban,large,"University of Louisville is a public research university with a 287-acre main campus three miles from downtown Louisville. The university offers more than 200 degree programs. Majors include bioengineering, dental hygiene, equine business, sport administration and Latin American and Latino Studies. Outside of coursework, students can choose from hundreds of student organizations. The university also offers more than 30 national and international fraternities and sororities. The university is also home to a student recreation center spanning more than 120,000 square feet. The Louisville Cardinals compete in NCAA Division I sports in the Atlantic Coast Conference. ",university-of-louisville,Public,Doctoral Universities: Very High Research Activity,13,29060934.0,98.0,97.0
253,"University of Texas, Arlington",TX,,117700.0,56971,Urban,large,"The University of Texas, Arlington is a public research university in the Dallas-Fort Worth metro and the biggest school in North Texas. Undergraduates can get involved with research as soon as their second semester. In 2020, research funding exceeded $125 million. The university maintains research centers dedicated to sustainable urban landscapes, genome sequencing and renewable energy. Students can choose from 65 majors in professional fields and the liberal arts. The UTA Mavericks play in 15 NCAA D1 sports in the Sun Belt Conference. The school’s wheelchair basketball teams have a particularly decorated history, with 9 men’s championships and two recent women’s titles. Notable UTA alumni include astronauts Kalpana Chawla and Robert Stewart, General Tommy Frank and Leidos CEO Roger Krone.",the-university-of-texas-at-arlington,Public,Doctoral Universities: Very High Research Activity,24,41101160.0,93.0,90.0
254,Illinois State University,IL,,112700.0,22159,Suburban,large,"Illinois State University is a public university in Normal, Illinois. The university, which enrolled more than 20,000 students in Fall 2022, says it offers the benefits of both a small and large college. Illinois State offers a variety of academic programs, including majors in computer networking, game design, dance teacher education and sustainable and renewable energy. The university also offers professional pathway programs, including pre-law and pre-veterinary medicine. Pre-health options include pathways to dental medicine, physical therapy, pharmacy and optometry. For housing, the school offers a selection of themed living-learning communities, which allow students to live with people with shared interests, identities or courses of study. The Big Red Marching Machine community is for students in the marching band and the Rainbow Floor is designed for LGBTQ+ students and allies. Other communities include those for students studying education, music or business, respectively. ",illinois-state-university,Public,Doctoral Universities: High Research Activity,19,37843194.0,98.0,97.0
255,"California State Polytechnic University, Pomona",CA,,133900.0,31117,Suburban,large,"California State Polytechnic University, Pomona is one of three polytechnics in the California State University system. With more than 26,000 undergraduate students, the university implements a “learn-by-doing” approach throughout its curriculum. Across its nine colleges, students can take courses in around 50 academic departments. Popular programs taken by students are in the College of Business Administration, Collins College of Hospitality Management, and the College of Engineering. Undergraduate research is encouraged through the teacher-scholar model in which faculty reinforces tenets of teaching, scholarship, and integration through research. Cal Poly Pomona credits much of its heritage to breakfast cereal giant Will Keith Kellogg, who once lived on the same land that would eventually become part of the university. Students can engage in some 250 organizations, including Greek Life chapters. The Broncos athletic teams compete in the NCAA-affiliated California Collegiate Athletic Association. Notable alumni include Oscar-winning actor Forest Whitaker, Emmy Award-winning producer Larry Wilmore, and Grammy-nominated soprano Carol Vaness. ",california-state-polytechnic-university-pomona,Public,Master's Colleges & Universities: Larger Programs,25,21777552.0,77.0,71.0
256,Appalachian State University,NC,,99800.0,22221,Rural,large,"Located in Boone, NC, in the Blue Ridge Mountains, Appalachian State University seeks to create a sustainable community and give students a range of academic opportunities. The university offers around 170 majors for students to pursue. The most popular programs are in exercise science, psychology and elementary education. More than 40% of undergraduates participate in an academic internship each year. Undergraduates are also allowed to partake in stipend-funded research assistantships during the fall and spring semesters. There are more than 400 student clubs on campus, including 32 Greek life organizations. The university awards 50 North Carolina students from low-income families the ACCESS Scholarship, which allows them to attend the school debt-free. The university also gives many merit scholarships and departmental academic scholarships.",appalachian-state-university,Public,Master's Colleges & Universities: Larger Programs,16,14356893.0,70.0,47.0
257,Clark University (MA),MA,B-,132600.0,3842,Urban,medium,"Known for its psychology program, Clark University is a small private liberal arts school in Worcester, MA. Sigmund Freud, the founder of psychoanalysis, delivered a series of lectures at Clark in 1909, the only lectures he ever gave in the United States. Psychology remains a central part of Clark’s identity, as it is the most popular major for undergraduates. Some 97% of freshmen live on campus. Many students migrate off campus after their first year, as 66% of undergraduates live on campus overall. All students are automatically considered for merit scholarships, which roughly 60% of the student body receive. Clark counts a pair of billionaire sports owners among its alumni: Philadelphia Eagles owner Jeffrey Lurie and Milwaukee Bucks owner Marc Lasry are both graduates.",clark-university,Private not-for-profit,Doctoral Universities: High Research Activity,9,14471662.0,97.0,96.0
258,Salisbury University,MD,,103000.0,8133,Suburban,medium,"Salisbury University, located about 30 miles west of Ocean City in Salisbury, MD, is part of the public University System of Maryland. The university boasts the beauty of its campus, designed as an arboretum with more than 3,000 trees. There are 46 undergraduate degree programs at Salisbury, including the flagship conflict analysis and dispute resolution major. The university has popular programs in communications, social work and management. Salisbury University offers a scholarship for first-year and transfer students who come from several states on the east coast. The university also has many donor-driven scholarships for students in certain colleges or academic programs. Frank Perdue, the late CEO of Perdue Farms whom the university’s business school is named after, attended Salisbury. Other notable alumni include Baltimore Ravens majority owner Stephen Bisciotti and Atlanta Falcons head coach Dan Quinn. There are more than 130 student organizations on campus, including 26 different academic clubs, 19 Greek life chapters, and more than 30 volunteer and service organizations.",salisbury-university,Public,Master's Colleges & Universities: Larger Programs,13,7975131.0,97.0,95.0
259,"University of Wisconsin, Eau Claire",WI,,108900.0,11504,Urban,large,"The University of Wisconsin, Eau Claire, is a public university that aims to foster areas for discovery. The university enrolled more than 8,000 undergraduates in Fall 2022 and offers more than 200 academic programs. The selection of majors include a bachelor of science in biomedical engineering, a bachelor’s in geography and bachelor of arts in teaching Spanish. On the weekends, many students choose to stay on campus. The campus offers a range of recreation opportunities on campus, including a climbing wall and archery range, and free entrance to athletic events. Residence halls are close to cafeterias and walking trails and the campus is longboard and bike friendly. The city of Eau Claire offers miles of bike trails, an annual jazz fest and hundreds of restaurants. ",university-of-wisconsin-eau-claire,Public,Master's Colleges & Universities: Medium Programs,19,7256729.0,84.0,76.0
260,Hope College,MI,C+,108000.0,3194,Urban,medium,"Hope College is a small private liberal arts school affiliated with the Reformed Church in America in Holland, MI. vHope is piloting a pay-it-forward tuition model this fall, with 22 students receiving free tuition thanks to a gift from a private donor. The program, called “Hope Forward,” aims to eventually provide free tuition to all students through alumni gifts. Through “Day 1 Research Communities”, freshmen at Hope can participate in lab or field research as soon as classes start.  Hope offers more than 90 majors, spanning from Accounting to Ministry. The Hope College Book Club connects the larger Hope community. The club reads a book every two months and is open to alumni, current students, staff, faculty and families.",hope-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,11,20775017.0,100.0,100.0
