rank,name,zip code_forbes,state,grade,medianBaseSalary,studentPopulation,campusSetting,schoolSize,description,uri,institutionType,carnegieClassification,studentFacultyRatio,totalGrantAid,percentOfStudentsFinAid,percentOfStudentsGrant,school_name_clean,School,zip code_myplan,Prestige,Satisfaction,Resources & Facilities,Safety,Teacher Support,School Administration,Campus Setting,Average Score,Zip Code,School Name,City,State,Locale,Average Faculty Salary,Average SAT Score,Admission Rate,4-Year Completion Rate,Average Net Price (Public),Average Net Price (Private),Cost of Attendance (Academic Year),Median Debt of Completers,Median Earnings (8 Years After Entry),Mean Earnings (8 Years After Entry),Type
2,stanford university,94305,CA,A+,177500.0,20490,Suburban,large,"The San Francisco Bay Area is home to Stanford University’s more than 7,700 undergraduate students and nearly 10,000 graduate students for its Autumn 2022 quarter. Recognized globally for its STEM programs, Stanford also presents academic offerings from each of its seven schools, including humanities, law, and business. The university boasts a 5:1 student-to-faculty ratio, with 2,304 faculty members. Stanford has produced a number of notable alumni, including Nobel Prize winners Carl Wieman, Paul Milgrom, and Roger Kornberg - who continues to teach at the university’s School of Medicine. Of the 600+ campus buildings, the majority of the student body either lives in one of the 81 undergraduate on-campus housing facilities or the 151 graduate on-campus residences. Keeping with tradition, students attend sporting rivalries like the Big Game against UC Berkeley, go fountain hopping, and hit their most unique stride for the ""Wacky Walk"" during Stanford commencements.",stanford-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,5,67892960,68,53,stanford university,stanford university,94305,95.8,86.3,92.5,89.7,71.0,63.7,92.7,84.53,94305,stanford university,stanford,CA,21.0,24226.0,1553.0,0.0391,0.740041928721,,12136.0,82162.0,12000.0,109851.0,121400.0,Private
156,suny college geneseo,14454,NY,,116500.0,4941,Rural,medium,"The State University of New York, Geneseo, is a public liberal arts college in Geneseo, NY a short drive from Rochester and Buffalo. There were more than 4,000 students enrolled in Fall 2022. Majors include geological sciences, sociomedical sciences, musical theater and political science. The $53 million Integrated Science Center houses the only Pelletron particle accelerator in Western New York, enabling groundbreaking research in nuclear and plasma physics. The college offers more than 180 student organizations and clubs, including club sports and advocacy. More than half of graduates completed internships and more than 40% of graduating seniors took on a research project. ",suny-at-geneseo,Public,Master's Colleges & Universities: Small Programs,16,6996785,93,86,suny college geneseo,suny college geneseo,14454,72.2,78.3,66.7,80.0,74.4,58.9,75.6,72.3,14454,suny college geneseo,geneseo,NY,32.0,8512.0,1296.0,0.6353,0.603019538188,18021.0,,26461.0,19500.0,60682.0,47600.0,Public
27,swarthmore college,19081,PA,A+,154900.0,1716,Suburban,small,"This private liberal arts college is located in Swarthmore, Pennsylvania has a 425 acre campus with rolling lawns, a creek, wooded hills and hiking trails and is located just 11 miles from Philadelphia. The liberal arts curriculum connects the arts, humanities, natural sciences and engineering, social sciences and interdisciplinary programs. Swarthmore College is rich in traditions. Last Collection takes place at the Scott Outdoor Amphitheater, where all first-year students gather for a ceremonial event with guest speakers and a candle-lighting to mark the start of the school year. Crum Regatta calls students to Crum Creek for a 500-meter race through shallow water with paddles and boats that are designed and built by students. And in late January, the themed winter formal brings students together for live music and a dance party. Alumni include former governor of Massachusetts Michael Dukakis, American economist Edward Prescott, United States Senator Chris Van Hollen, and current president of Brown University Chrstina Paxson.",swarthmore-college,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,8,13643129,68,63,swarthmore college,swarthmore college,19081,86.9,75.0,76.9,88.5,89.7,71.8,88.5,82.47,19081,swarthmore college,swarthmore,PA,21.0,14517.0,1527.0,0.0694,0.858108108108,,18686.0,80014.0,17500.0,72890.0,56800.0,Private
108,syracuse university,13244,NY,B-,130100.0,37114,Urban,large,"Syracuse University is a private institution located on a hilltop that overlooks the town of Syracuse, New York. Year-round festivals, expos and installations, and athletic events will unite the student body. The Schine and Goldstein student centers are hubs for students to relax, study, meet and enjoy various dining options. The Coalitions of Museum and Art Centers at Syracuse University showcase the community’s talent with exhibitions, public presentations, education and scholarship. With over 300 student organizations, the student-run media culture allows aspiring journalists to report, edit and write for The Daily Orange, CitrusTV, Orange Television Network and more. Students can also sing with The Mandarins, Otto Tunes or one of the five other student a cappella groups or join a fraternity or sorority to form a community of their own. For over 40 years, Syracuse students have been dressing up as the official mascot Otto the Orange. Although you may see Otto at the stadium for games or scootering across campus, these students are sworn to secrecy until the end of senior year when they can reveal their identities. Notable alumni include President Joe Biden, former professional basketball player Carmelo Anthony, sports commentator Bob Costas, and Governor of New York Kathy Hochul. ",syracuse-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,15,99763621,79,77,syracuse university,syracuse university,13244,70.8,67.9,69.5,58.9,64.3,50.0,67.2,64.09,13244,syracuse university,syracuse,NY,12.0,12872.0,1351.0,0.4169,0.779079861111,,41026.0,80396.0,26000.0,70598.0,57500.0,Private
70,texas a&m university college station,77843,TX,,139700.0,77096,Urban,large,"Texas A&M’s 5,200-acre flagship campus is located in College Station, Texas, and is one of the oldest public universities in Texas. The university boasts a massive student body totaling nearly 75,000 students for Fall 2022. Apart from the main campus, Texas A&M also operates branch campuses in Galveston, Texas, and Doha, Qatar. The university offers more than 140 undergraduate degree programs across 17 colleges and schools. Texas A&M prides itself on achieving significant milestones through its research initiatives, spending over $1.1 billion in the fiscal year 2022— the first university in Texas to exceed 1 billion dollars. The university also produced 2 Nobel Prize recipients and sends over 5,000 students to 100 countries every year as part of its study abroad program. Students can choose from more than 1,000 student organizations and foster student engagement through campus customs. Aggie pride runs deep, thanks to the NCAA Division I in Southeastern Conference games. The rich Aggie culture includes traditions like the Midnight Yell before each home game and donning the university’s Maroon & White colors, which once led to a temporary shortage of maroon shirts around the country.",texas-a-m-university,Public,Doctoral Universities: Very High Research Activity,18,80530879,74,59,texas a&m university college station,texas a&m university college station,77843,77.0,73.5,77.0,83.0,63.7,59.7,71.3,72.17,77843,texas a&m university college station,college station,TX,12.0,14313.0,1272.0,0.6325,0.764223268325,20924.0,,32085.0,17804.0,66077.0,61600.0,Public
220,texas christian university,76109,TX,A+,119600.0,12513,Urban,large,"Texas Christian University is a private research university in Fort Worth, Texas and is the largest of 21 institutions affiliated with the protestant Christian Church (Disciples of Christ). The school’s 10 colleges offer a wide range of programs, the most popular in business, communications and health professions. Fall 2022 saw an enrollment of more than 10,000 undergraduate students, and just over half of undergrads stay on campus. About 40% of students study abroad, where program lengths vary from semester-long courses to summer programs spanning just 3-4 weeks. Three-fourths of students at TCU receive financial aid in the form of grants, scholarships, loans, and work-study funds. TCU’s Horned Frogs compete in the Division I Big 12 Conference, where TCU has won 18 Big 12 championships since joining the conference a decade ago. Students can foster connections through more than 275 student organizations. Century-old traditions continue to this day, like the “Riff Ram” cheer, rumored to be the oldest chant in the Southwest Conference. Other campus traditions include rubbing the nose of TCU’s horned frog statue for good luck and seniors waking up before dawn at Senior Sunrise to share breakfast together. Many of TCU’s most successful alumni have an athletic background, including Pro Football Hall of Fame running back LaDainian Tomlinson.",texas-christian-university,Private not-for-profit,Doctoral Universities: High Research Activity,14,63499618,92,89,texas christian university,texas christian university,76109,70.5,75.0,62.8,70.5,71.8,66.7,79.5,70.97,76129,texas christian university,fort worth,TX,11.0,13511.0,1303.0,0.426,0.76990376203,,33531.0,72778.0,21500.0,67491.0,55300.0,Private
298,texas state university,78666,TX,,105600.0,41900,Urban,large,"Among the largest universities in the nation, Texas State University is located in San Marcos, Texas, less than an hour from Austin and San Antonio. About 40% of Texas State students identify as Hispanic. The university has received $48 million through Hispanic-Serving Institution funding from agencies such as the Department of Education, NASA and the USDA through since 2011. Texas State offers more than 180 majors and minors, ranging from agriculture business management to southwestern studies. President Lyndon B. Johnson was a Texas State alumnus, and he is commemorated on campus with a life-size statue and the LBJ Student Center.",texas-state-university,Public,Doctoral Universities: High Research Activity,21,56453790,83,77,texas state university,texas state university,78666,52.4,73.2,64.3,67.9,70.2,54.8,71.4,64.89,78666,texas state university,san marcos,TX,13.0,8917.0,1093.0,0.8948,0.52769824474,16438.0,,26348.0,21000.0,52554.0,46200.0,Public
174,towson university,21252,MD,,111700.0,23202,Urban,large,"Located just north of Baltimore is Towson University, the second largest institution in Maryland’s state university system. Students can choose from more than 60 majors, with the most popular in the business, nursing and communications departments. The university encourages interdisciplinary research, working to achieve the R2-Doctoral status from the Carnegie Classification by 2027, and investing over $14 million to advance its research efforts. Students in any department can also participate in undergraduate research and sponsored creative projects. Towson emphasizes the importance of internships and offers opportunities both on-campus and through study abroad. The university offers merit scholarships for first-year and transfer students, many of which are awarded by individual academic departments. Towson hosts nearly 300 campus organizations that range from student-run media and publications to Greek life chapters. The Towson University Tigers fields 19 varsity teams comprising more than 500 student-athletes who compete at the Division I level. Students participate in a variety of annual community service events on campus, including The Big Event, a day when students, faculty, staff and alumni all work together in different community service programs.",towson-university,Public,Master's Colleges & Universities: Larger Programs,15,21723504,84,74,towson university,towson university,21252,54.8,66.1,69.0,53.6,70.2,63.1,65.5,63.19,21252,towson university,towson,MD,13.0,9513.0,1166.0,0.828,0.610415623435,16791.0,,26621.0,18718.0,59840.0,49000.0,Public
95,trinity university,78212,TX,A,130600.0,2782,Urban,small,"Trinity University in San Antonio, TX, is a private university founded by the Presbyterian Church that offers students liberal arts and pre-professional programs. Undergraduates can choose from nearly 60 majors, with popular programs including business, social sciences and biomedical sciences. Students have access to specialized student-teacher collaboration with the university’s 9:1 student-to-faculty ratio. Of the more than 2,500 undergraduate students enrolled, Trinity’s incoming class of 2027 totaled just under 680 students, with an admit rate of less than 30%. The majority of students take part in undergraduate research or internships. More than half of Trinity students graduate debt free. As of 2023, Trinity’s endowment was $1.7 billion. One of the university’s most prestigious awards is the Trinity Tower Scholarship, which is an annual full-tuition award. Upon graduation, ​​98% of Trinity students were either employed or accepted to graduate school within six months. There are more than 115 student organizations, and a quarter of Trinity students are involved in fraternity and sorority life. More than 70% of students participate in club or intramural sports, and 25% of students participate in varsity athletics. In 2023, the Trinity Tigers accepted the invitation to become members of the Southern Collegiate Athletic Conference, competing at the Division III level. Campus traditions often involve studying for exams beside the school’s magic stones for good luck, weekly “Milk 'n' Cookies” hangouts, or celebrating birthdays by being dunked in the campus fountain.",trinity-university,Private not-for-profit,Baccalaureate Colleges: Arts & Sciences Focus,9,22084133,99,99,trinity university,trinity university,78212,65.0,75.0,73.3,71.7,76.7,56.7,75.0,70.49,78212,trinity university,san antonio,TX,11.0,12044.0,1407.0,0.2816,0.796666666667,,23650.0,65774.0,22954.0,66445.0,58200.0,Private
251,truman state university,63501,MO,,106800.0,4524,Rural,medium,"Truman State University is a public university in Kirksville, Missouri, named for U.S. president and Missouri native Harry Truman. Previously known as Northeast Missouri State University, the school was renamed Truman State in 1996. To honor its former names, the weathervane on the campus’s Kirk Memorial is welded to permanently face northeast. Truman offers more than 40 majors. Majors include agricultural science, cannabis and natural medicinals, communication disorders and music therapy.  The university is home to a human anatomy lab that exercise science and health science students have the opportunity to use. The lab includes human cadavers and an array of human organs and bones. Jenna Fischer, star of “The Office,” graduated from the university with a bachelor of arts in theater.",truman-state-university,Public,Master's Colleges & Universities: Medium Programs,13,6544296,100,100,truman state university,truman state university,63501,60.8,76.5,61.8,77.5,74.5,57.8,67.6,68.07,63501,truman state university,kirksville,MO,33.0,7456.0,1249.0,0.7996,0.556906077348,12030.0,,23420.0,21000.0,48947.0,45600.0,Public
52,tufts university,2155,MA,B+,144400.0,15126,Suburban,large,"Tufts University has a New England campus that is located in the cities of Medford and Somerville, just minutes away from downtown Boston. After choosing from over 90 undergraduate majors that Tuft’s offers, about 98% of students are employed, in grad school, or in service within six months after graduation. The Tufts mascot, Jumbo the elephant, was named after a circus animal Jumbo who died after being hit by a train, and his ashes are located in a vase near the athletic department on campus. Researchers at the Friedman School of Nutrition Science and Policy try to tackle global food insecurity through methods of seaweed farming. While professors at the esteemed Fletcher School of Law and Diplomacy lead a multidisciplinary team of researchers to explore new ways to power ships for a more sustainable future with a smaller global carbon footprint. The Tufts Cannon, a campus landmark located between Goddard Chapel and Ballou Hall, is traditionally painted by students who wish to promote clubs and events, or send a message through activism. Noteworthy alumni include CEO of JPMorgan Chase James Dimon, chairman and executive vice president of the NFL’s NY Giants Steven Tisch, actor Rainn Wilson and actress Jessica Biel.  ",tufts-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,10,35148726,46,39,tufts university,tufts university,2155,77.2,69.7,71.9,78.1,73.7,57.0,71.9,71.36,2155,tufts university,medford,MA,21.0,13737.0,1513.0,0.1013,0.895027624309,,35435.0,84600.0,16250.0,70761.0,84800.0,Private
147,tulane university,70118,LA,A,133200.0,15270,Urban,large,"Tulane University is a research university in New Orleans, Louisiana whose mascot is known as the Green Wave with Riptide the Pelican as the face of school spirit. During Welcome to the Wave, incoming freshmen all unite to learn more about their new community, followed by a Convocation with academic leaders, the university marching band, and traditional New Orleans jazz. The school has acquired some of the many traditions of New Orleans that are centered around food and festivals. Spring is crawfish season and Crawfest is Tulane’s two-stage, ten-band outdoor music festival for students and the community with 18,000 pounds of free crawfish. Following the sounds of “Hooray Hooray Vars Vars Tee Ay,” Tulanians can be found singing their fight song while wearing the school colors of green and blue to cheer for athletic teams. The undergraduate experience includes over 75 majors and minors and an interdisciplinary core curriculum that includes humanities, fine arts, social sciences and sciences. In TIDES (Tulane Interdisciplinary Experience Seminar), first year students will get an academic glance into New Orleans, their new home. Notable alumni include former President of Costa Rica Luis Guillermo Solís, United States Ambassador to Austria Victoria Reggie Kennedy, businessman and co-founder of Yahoo David Filo, and stock trader Timothy Sykes. ",tulane-university,Private not-for-profit,Doctoral Universities: Very High Research Activity,8,40831765,70,66,tulane university,tulane university,70118,83.3,76.9,69.9,57.1,71.8,53.2,80.8,70.43,70118,tulane university,new orleans,LA,11.0,12908.0,1443.0,0.1459,0.601300108342,,43939.0,83761.0,20500.0,56725.0,64000.0,Private
182,university of alabama,35487,AL,,113100.0,42327,Urban,large,"The University of Alabama in Tuscaloosa is the state’s flagship university and is known for its robust academics, research and extracurriculars. The university offers over 90 undergraduate majors, with popular areas of study in business, engineering, communications and health professions. The university is home to over 20 research centers and institutes. Sports are a hallmark of campus culture, with “Roll Tide” more than just a rallying cry for the NCAA Division I Crimson Tide athletics. UA is one of the few universities in the nation that sponsor wheelchair athletics. The university has a large and vibrant fraternity and sorority community, with approximately 35% of undergraduates taking part in Greek life. The Alabama Advantage Scholarship funds the remaining dollars needed to cover the cost of UA’s in-state tuition after scholarships and grants have been applied for Pell Grant recipients. UA boasts more than 100 Boren, Rhodes, Goldwater, Hollings and Truman Scholars.",the-university-of-alabama,Public,Doctoral Universities: Very High Research Activity,19,96526426,87,82,university of alabama,university of alabama,35487,68.4,73.7,78.1,65.8,58.8,44.7,78.9,66.91,35487,university of alabama,tuscaloosa,AL,12.0,11090.0,1287.0,0.7582,0.576646590247,22150.0,,32024.0,22750.0,56012.0,45600.0,Public
182,university of alabama,35487,AL,,113100.0,42327,Urban,large,"The University of Alabama in Tuscaloosa is the state’s flagship university and is known for its robust academics, research and extracurriculars. The university offers over 90 undergraduate majors, with popular areas of study in business, engineering, communications and health professions. The university is home to over 20 research centers and institutes. Sports are a hallmark of campus culture, with “Roll Tide” more than just a rallying cry for the NCAA Division I Crimson Tide athletics. UA is one of the few universities in the nation that sponsor wheelchair athletics. The university has a large and vibrant fraternity and sorority community, with approximately 35% of undergraduates taking part in Greek life. The Alabama Advantage Scholarship funds the remaining dollars needed to cover the cost of UA’s in-state tuition after scholarships and grants have been applied for Pell Grant recipients. UA boasts more than 100 Boren, Rhodes, Goldwater, Hollings and Truman Scholars.",the-university-of-alabama,Public,Doctoral Universities: Very High Research Activity,19,96526426,87,82,university of alabama,university of alabama,35487,68.4,73.7,78.1,65.8,58.8,44.7,78.9,66.91,35487,university of alabama,tuscaloosa,AL,12.0,11090.0,1287.0,0.7582,0.576646590247,22150.0,,32024.0,22750.0,56012.0,45600.0,Public
112,university of arizona,85721,AZ,,119300.0,54374,Urban,large,"The University of Arizona embodies a rich history dating back to 1885—27 years before Arizona became a state. The public research institution in Tucson, AZ has more than 40,000 students and offers more than 300 majors to students. Popular programs include business, biology, and engineering. A leader in space science and exploration, UA works closely with NASA, ​​ranking number 5 in NASA-funded activity among public universities. Total research expenditures reached $824 million in 2022. For students looking to study abroad, UA hosts programs in Italy, Indonesia, Peru, Mauritius, Korea, and Cambodia. UA offers generous financial assistance, with nine out of 10 students receiving financial aid. A Hispanic-serving institution, UA champions diversity and students can enrich their collegiate experience through more than 400 clubs and organizations. UA’s prominent alumni span numerous industries, including NBA head coach Steve Kerr, actress Kristen Wiig, media personality Kourtney Kardashian and numerous astronauts.",university-of-arizona,Public,Doctoral Universities: Very High Research Activity,17,89751309,98,98,university of arizona,university of arizona,85721,61.8,71.7,82.0,68.9,64.0,49.1,71.5,67.0,85721,university of arizona,tucson,AZ,11.0,12224.0,1261.0,0.8566,0.499116749639,15960.0,,28543.0,19620.0,55966.0,48100.0,Public
112,university of arizona,85721,AZ,,119300.0,54374,Urban,large,"The University of Arizona embodies a rich history dating back to 1885—27 years before Arizona became a state. The public research institution in Tucson, AZ has more than 40,000 students and offers more than 300 majors to students. Popular programs include business, biology, and engineering. A leader in space science and exploration, UA works closely with NASA, ​​ranking number 5 in NASA-funded activity among public universities. Total research expenditures reached $824 million in 2022. For students looking to study abroad, UA hosts programs in Italy, Indonesia, Peru, Mauritius, Korea, and Cambodia. UA offers generous financial assistance, with nine out of 10 students receiving financial aid. A Hispanic-serving institution, UA champions diversity and students can enrich their collegiate experience through more than 400 clubs and organizations. UA’s prominent alumni span numerous industries, including NBA head coach Steve Kerr, actress Kristen Wiig, media personality Kourtney Kardashian and numerous astronauts.",university-of-arizona,Public,Doctoral Universities: Very High Research Activity,17,89751309,98,98,university of arizona,university of arizona,85721,61.8,71.7,82.0,68.9,64.0,49.1,71.5,67.0,85721,university of arizona,tucson,AZ,11.0,12224.0,1261.0,0.8566,0.499116749639,15960.0,,28543.0,19620.0,55966.0,48100.0,Public
158,university of arkansas,72701,AR,,114800.0,31882,Urban,large,"The University of Arkansas is a public research institution in Fayetteville, Ark., with a rich political and academic pedigree. The university, home to over 30,000 students, offers more than 100 undergraduate majors from U of A’s 10 schools and colleges. A leader in research, the university is recognized by the Carnegie Foundation as an R1 institution, having among the highest levels of research activity. U of A’s Distinguished Lectures Committee attracts many influential leaders to speak on campus. Past lecturers include President George H.W. Bush, Magic Johnson and Elie Wiesel. Both President Bill Clinton and former Secretary of State Hillary Clinton served on the University of Arkansas Law School’s faculty in the 1970s. Each year, the school awards $85 million worth of financial assistance and scholarships to offset the cost of attendance, currently estimated at around $30,000 for Arkansas-based undergraduates, and around $40,000 for non-residents. U of A students can strengthen their involvement through more than 380 student organizations and 34 fraternities and sororities. The Arkansas Razorbacks compete in the Division I Southeastern Conference. Students share in the “Hog Call'' chant, one of the most recognizable in college sports. U of A also has a live Russian boar mascot named Tusk VI, who makes appearances at football games. Jerry Jones, billionaire owner of the Dallas Cowboys, and J. William Fulbright, creator of the Fulbright Scholarship Program, both graduated from the University of Arkansas. ",university-of-arkansas,Public,Doctoral Universities: Very High Research Activity,20,30361728,77,60,university of arkansas,university of arkansas,72701,57.4,62.5,76.9,68.5,57.4,50.0,75.9,64.09,72701,university of arkansas,fayetteville,AR,13.0,10492.0,1174.0,0.7167,0.547314578005,17525.0,,26161.0,21500.0,54333.0,46900.0,Public
158,university of arkansas,72701,AR,,114800.0,31882,Urban,large,"The University of Arkansas is a public research institution in Fayetteville, Ark., with a rich political and academic pedigree. The university, home to over 30,000 students, offers more than 100 undergraduate majors from U of A’s 10 schools and colleges. A leader in research, the university is recognized by the Carnegie Foundation as an R1 institution, having among the highest levels of research activity. U of A’s Distinguished Lectures Committee attracts many influential leaders to speak on campus. Past lecturers include President George H.W. Bush, Magic Johnson and Elie Wiesel. Both President Bill Clinton and former Secretary of State Hillary Clinton served on the University of Arkansas Law School’s faculty in the 1970s. Each year, the school awards $85 million worth of financial assistance and scholarships to offset the cost of attendance, currently estimated at around $30,000 for Arkansas-based undergraduates, and around $40,000 for non-residents. U of A students can strengthen their involvement through more than 380 student organizations and 34 fraternities and sororities. The Arkansas Razorbacks compete in the Division I Southeastern Conference. Students share in the “Hog Call'' chant, one of the most recognizable in college sports. U of A also has a live Russian boar mascot named Tusk VI, who makes appearances at football games. Jerry Jones, billionaire owner of the Dallas Cowboys, and J. William Fulbright, creator of the Fulbright Scholarship Program, both graduated from the University of Arkansas. ",university-of-arkansas,Public,Doctoral Universities: Very High Research Activity,20,30361728,77,60,university of arkansas,university of arkansas,72701,57.4,62.5,76.9,68.5,57.4,50.0,75.9,64.09,72701,university of arkansas,fayetteville,AR,13.0,10492.0,1174.0,0.7167,0.547314578005,17525.0,,26161.0,21500.0,54333.0,46900.0,Public
5,university of california berkeley,94720,CA,,167000.0,47911,Urban,large,"UC Berkeley’s achievements extend beyond academics with pride rooted in history, discovery, and societal contributions. With over 35,000 students, students can choose from 350-degree programs in 130 academic departments. Not only is UC Berkeley the #1 all-time top producer of Peace Corps members, but it boasts an impressive alumni base of 35 Nobel Prizes recipients - 9 of them held by current faculty. Just as notable as its vast academic selection is UC Berkeley’s athletics. 121 gold Olympic medals have been awarded to students and alumni and remains highly decorated with 98 National championships. In 2023, the university saw record highs of California student applications from its over 125,800 admission pool. Students who become a “Golden Bear” are greeted with blue and gold campus colors, will meet Oski the Cal mascot, and participate in card stunts at sporting events, where hundreds of students hold up cards that collectively display the famous UC Berkeley logo. ",university-of-california-berkeley,Public,Doctoral Universities: Very High Research Activity,19,77402184,60,52,university of california berkeley,university of california berkeley,94720,96.1,83.8,87.8,55.5,52.7,49.8,79.4,72.16,94720,university of california berkeley,berkeley,CA,12.0,20183.0,,0.1166,0.751293995859,14979.0,,42708.0,13000.0,84865.0,68100.0,Public
43,university of california davis,95616,CA,,142700.0,42855,Suburban,large,"UC Davis, a public university, is centrally located in Northern California in the city of Davis. Due to the location of the main campus, students are just a day trip away from the beach, snowy mountains, Silicon Valley, six national parks, and San Francisco. Campus recreation offers classes in white water rafting, rock climbing, snowshoeing and skiing that all include transportation and equipment. Aside from these destinations the school has centers and research institutions in neighboring areas. UC Davis Health center is on the Sacramento campus, 20 minutes away from Davis and the UC Center Sacramento educates students in politics and policymaking to make way for future leaders. The UC Davis Coastal and Marine Sciences Institute’s Bodega Marine Laboratory is a research and education facility located in Bodega Bay on the Bodega Marine Reserve, an area that is recognizable for its extreme biological productivity, rich for research discoveries. All first year UC Davis students can participate in the tradition of running across Jim Sochor Field right before the Aggie football team kicks off! Noteworthy alumni include former United States Representative Jackie Speier, American comedian Hasan Minhaj, and the mayor of Sacramento Darrell Steinberg. ",university-of-california-davis,Public,Doctoral Universities: Very High Research Activity,21,85849423,63,57,university of california davis,university of california davis,95616,74.2,80.1,78.8,82.2,59.5,51.9,71.2,71.13,95616,university of california davis,davis,CA,23.0,17719.0,,0.4163,0.762075134168,15288.0,,38067.0,13000.0,71209.0,56600.0,Public
39,university of california irvine,92697,CA,,148400.0,38705,Urban,large,"This public land-grant research university is located in Irvine, California. UCI’s ANTrepreneur Center is an inclusive hub for innovation and a space where mentors help student or alumni entrepreneurs turn their ambitions into concrete business ventures. This resource is available to all UCI undergraduates and, regardless of their major, provides one-on-one coaching, startup methodology education, professional development through guest speakers, hackathons and other engaging challenges. In front of the Bren Events Center, students will see the anteater mascot and may often hear “Zot!” the campus battle cry. “Zot,” is the cry that an anteater was imagined to make when attacking its prey by the group of students who participated in an election back in 1965. Today, the campus convenience stores are called “Zot ‘n Gi,” and when Administration sends e-mail announcements to the UCI community they send it via “Zotmail.” Noteworthy alumni include co-creator of Game of Thrones, writer David Friedman, American Olympic diver Gregory Louganis, and former personal secretary to the President of the United States Ferial Govashiri. ",university-of-california-irvine,Public,Doctoral Universities: Very High Research Activity,18,90206037,80,80,university of california irvine,university of california irvine,92697,65.0,70.0,73.3,80.6,62.8,51.7,73.3,68.1,92697,university of california irvine,irvine,CA,11.0,18213.0,,0.2557,0.787461459404,12840.0,,36121.0,15000.0,67970.0,54300.0,Public
13,university of california los angeles,90095,CA,,144400.0,48638,Urban,large,"The University of California, Los Angeles is only minutes away from Hollywood and downtown L.A. With over 125 majors and over 90 minors delivered to students, the most popular disciplines are social sciences, biological and biomedical sciences, and psychology. UCLA also ranks among the top research schools, bringing in over $1B a year in external research grants. This year, UCLA admissions reported over 169,800 applications for Fall 2023, a near-historic high for the university. UCLA's athletics department remains equally impressive, being the only university with a number one overall pick in almost every major league draft. UCLA’s Bruins have won 121 NCAA team championships, 270 Olympic medals and produced over 120 professional athletes including sports legend Jackie Robinson. Students can choose from over 1,000 clubs and student organizations, and participate in the many True Bruin traditions that include volunteering, attending games, and becoming “Bruintized” by making a splash in the school’s inverted fountain during orientation.",university-of-california-los-angeles,Public,Doctoral Universities: Very High Research Activity,18,65557935,57,46,university of california los angeles,university of california los angeles,90095,85.2,76.2,80.9,69.4,53.3,48.4,78.7,70.3,90095,university of california los angeles,los angeles,CA,11.0,21778.0,,0.0873,0.790731204943,14013.0,,36643.0,14000.0,72864.0,63900.0,Public
21,university of california san diego,92093,CA,,151500.0,44132,Urban,large,"University of California San Diego is a public land-grant research university in La Jolla, California. With a total campus enrollment of 42,800, the campus rests on 1,200 acres of coastal woodland and overlooks the Pacific ocean. The Department of Economics and the Rady School of Management recently launched the Business and Economics Mentoring Program. This initiative’s goal is to expand the diversity of students in the Business Economics major to address the lack of diversity in business education and leadership. The average base salary of UC San Diego Graduates are $84,000, hitting an average of $143,600 as a mid-career salary. Through experiential learning, students are placed in real-world experiences in laboratories, research facilities and public service programs. Ongoing programs include the Community Health Project focusing on immigrant, impoverished women, and geriatric health and JusticeCorps that helps to provide legal information to self-represented community members. Undergraduates practice in the field what they learn in the classroom yielding to higher retention, faster graduation rates and job prospects. Notable alumni include founder of GoPro Nick Woodman, activist Angela Davis, and DJ Patil, former White House chief data scientist. ",university-of-california-san-diego,Public,Doctoral Universities: Very High Research Activity,19,86098090,61,55,university of california san diego,university of california san diego,92093,75.3,66.7,79.5,78.1,50.7,45.4,79.9,67.94,92093,university of california san diego,la jolla,CA,11.0,18460.0,,0.2452,0.834979523007,11750.0,,36325.0,15500.0,77893.0,58900.0,Public
35,university of california santa barbara,93106,CA,,148600.0,28256,Suburban,large,"The University of California-Santa Barbara is a public land-grant research university in Santa Barbara, California. Its mascot “The Gaucho” was supposedly inspired by Douglas Fairbank’s performance in a 1927 film by the same name. This beachside campus has seven miles of bikeways on or adjacent to the USCB campus and is used by an estimated 14,000 cyclists daily. There are over 26,000 students enrolled at USCB and more than 200 majors, degrees and credentials among the five schools. Some traditions on and off campus include attending a Gaucho basketball game, visiting the labyrinth by the lagoon, visiting the UCSB Art Museum, donating to the senior class gift, taking a photo at Campus point or attending the on-campus dog therapy day. UCSB’s faculty include six winners of Nobel Prizes for research in chemistry, physics and economics. Notable alumni include actor Michael Douglass, author Katy Tur, American Navy officer Robert Ballard, screenwriter Eric Roth and actress Gwyneth Paltrow.",university-of-california-santa-barbara,Public,Doctoral Universities: Very High Research Activity,17,52724875,59,53,university of california santa barbara,university of california santa barbara,93106,73.6,81.9,74.1,64.8,59.7,54.2,87.5,70.83,93106,university of california santa barbara,santa barbara,CA,22.0,19799.0,,0.2778,0.530453447813,13825.0,,36776.0,13993.0,68092.0,52100.0,Public
